rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
89,Fidji Simo,0.1,139,6,149,Magician,Leadership,Pattern Interrupt,Hook -> Punch Line,"Excited for Metrodora Institute’s partnership with React19 and the Long COVID Foundation to advance research for the tens of millions of people impacted by Long COVID and post-infectious chronic illnesses. These debilitating conditions are robbing people of their lives, livelihoods and identity; we need better care, better diagnostics and better therapeutics. It won’t happen overnight, but we’re committed to the fight.",Excited for Metrodora Institute’s partnership with React19 and the Long COVID Foundation to advance research for the tens of millions of people impact,"Excited for Metrodora Institute’s partnership with React19 and the Long COVID Foundation to advance research for the tens of millions of people impacted by Long COVID and post-infectious chronic illnesses. These debilitating conditions are robbing people of their lives, livelihoods and identity; we need better care, better diagnostics and better therapeutics. It won’t happen overnight, but we’re committed to the fight.",https://www.linkedin.com/posts/fidjisimo_new-groundbreaking-collaboration-to-focus-activity-7262981419189100544-gloe?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADVQx30BSKw-4RPuvwIzJnoG8AqJtvBc4vY
90,Fidji Simo,0.1,130,12,143,Fortune Teller,Leadership,Future Prediction,Hook -> Punch Line,Very excited to support Sprouts Farmers Market’s delicious holiday meals!,Very excited to support Sprouts Farmers Market’s delicious holiday meals!,Very excited to support Sprouts Farmers Market’s delicious holiday meals!,https://www.linkedin.com/posts/fidjisimo_sprouts-supports-holiday-catering-with-instacart-activity-7128263070585425920-Oi54?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC2YztMBWYYcZ4Slj-rXHa8LaAFoM32zLlU
91,Fidji Simo,0.1,129,7,140,Teacher,AI / Tech,Thought Leadership,Hook -> Punch Line,"Thanks to Sarah Guo  and Elad Gil for a great discussion on all things #AI on this week’s No Priors Podcast. We talked about how AI is impacting commerce, food and healthcare, and went deep on how Instacart is thinking about AI — from internal applications to enhancing our consumer experience. We’re just getting started! bit.ly/3CIMhXe",Thanks to Sarah Guo  and Elad Gil for a great discussion on all things #AI on this week’s No Priors Podcast. We talked about how AI is impacting comme,"Thanks to Sarah Guo  and Elad Gil for a great discussion on all things #AI on this week’s No Priors Podcast. We talked about how AI is impacting commerce, food and healthcare, and went deep on how Instacart is thinking about AI — from internal applications to enhancing our consumer experience. We’re just getting started! bit.ly/3CIMhXe",https://www.linkedin.com/posts/fidjisimo_whats-for-dinner-ai-driven-commerce-with-activity-7077664209605455872-jTWS?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADDbKyUBliJAU6h5u1uTmkzg1K3FEkbghHU
92,Fidji Simo,0.1,118,10,128,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,"Honored to share my perspective as part of Alignment Health  CEO John Kao’s latest newsletter series on servant leadership. Thanks for the thoughtful questions, John! More our new co-branded Medicare Advantage plans with Alignment Health, the intersection of food and public health, and what servant leadership means to me and the whole team at Instacart  below.",Honored to share my perspective as part of Alignment Health  CEO John Kao’s latest newsletter series on servant leadership. Thanks for the thoughtful ,"Honored to share my perspective as part of Alignment Health  CEO John Kao’s latest newsletter series on servant leadership. Thanks for the thoughtful questions, John! More our new co-branded Medicare Advantage plans with Alignment Health, the intersection of food and public health, and what servant leadership means to me and the whole team at Instacart  below.",https://www.linkedin.com/posts/fidjisimo_leadership-servantleadership-seniors-activity-7127349733882269696-nFke?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC2YztMBWYYcZ4Slj-rXHa8LaAFoM32zLlU
93,Fidji Simo,0.1,96,6,103,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Punch Line,Wonderful to connect with the Frenchfounders community in LA last night. Special thanks to Clara Bousquet for organizing an incredible event and to Antoine Boulin for a thoughtful discussion. And Johanna Le Pape’s exceptional food was a real highlight!,Wonderful to connect with the Frenchfounders community in LA last night. Special thanks to Clara Bousquet for organizing an incredible event and to An,"Wonderful to connect with the Frenchfounders community in LA last night. Special thanks to Clara Bousquet for organizing an incredible event and to Antoine Boulin for a thoughtful discussion. And Johanna Le Pape’s exceptional food was a real highlight! 
Such a joy to see all the great work these amazing people are doing — and to have a slice of home right here in California!",https://www.linkedin.com/posts/fidjisimo_ive-had-the-privilege-of-meeting-many-incredible-activity-7257444784640794625-Ffky?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADVQx30BSKw-4RPuvwIzJnoG8AqJtvBc4vY
94,Fidji Simo,0.1,82,7,89,Teacher,AI / Tech,Thought Leadership,Hook -> Punch Line,"Really proud of the work we’re doing, in partnership with local government, on giving people access to healthy, nutritious food through our technology.","Really proud of the work we’re doing, in partnership with local government, on giving people access to healthy, nutritious food through our technology","Really proud of the work we’re doing, in partnership with local government, on giving people access to healthy, nutritious food through our technology.",https://www.linkedin.com/posts/fidjisimo_in-the-snap-gap-a-mother-struggles-to-activity-7277053839613026305-pEGO?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADVQx30BSKw-4RPuvwIzJnoG8AqJtvBc4vY
95,Fidji Simo,0.1,83,5,89,Teacher,AI / Tech,Thought Leadership,Hook -> Punch Line,"Proud to be working with the French government in supporting Current AI, an initiative to foster the creation of AI public goods. It’s really good to see France focusing on how to foster innovation in AI and creating an AI ecosystem that benefits everyone.","Proud to be working with the French government in supporting Current AI, an initiative to foster the creation of AI public goods. It’s really good to ","Proud to be working with the French government in supporting Current AI, an initiative to foster the creation of AI public goods. It’s really good to see France focusing on how to foster innovation in AI and creating an AI ecosystem that benefits everyone.",https://www.linkedin.com/posts/fidjisimo_aiactionsummit-publicinterestai-currentai-activity-7294735344778784768-vU94?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE0Wae8Bdw49TBBX9odwCVUCDyBMCOF71rc
96,Fidji Simo,0.1,85,2,87,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,"Maria Angelidou-Smith is one of the very best leaders I’ve had the privilege of working with. She builds the best teams and the best products, and she does so with the utmost grace, smarts and integrity. You can listen to her gems on this podcast episode with the incomparable Harry Stebbings.","Maria Angelidou-Smith is one of the very best leaders I’ve had the privilege of working with. She builds the best teams and the best products, and she","Maria Angelidou-Smith is one of the very best leaders I’ve had the privilege of working with. She builds the best teams and the best products, and she does so with the utmost grace, smarts and integrity. You can listen to her gems on this podcast episode with the incomparable Harry Stebbings.",https://www.linkedin.com/posts/fidjisimo_20product-how-the-best-teams-do-product-activity-7248224584674488320-vYdX?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADRLxmYBjQllh69blscrM6WMVeCVic4YoOs
97,Fidji Simo,0.1,79,6,87,Teacher,Leadership,Direct Advice,Hook -> List -> Insight,"Thank you to the Actives committee and former minister Marlène Schiappa for the honor of featuring me among the 40 women of the #NextWomen40 list, who could lead some of the largest public groups of the CAC40. I love her quote: ""The woman we didn't find to lead one of the companies of the CAC40 is the one we didn't look for."" Amazing initiative.","Thank you to the Actives committee and former minister Marlène Schiappa for the honor of featuring me among the 40 women of the #NextWomen40 list, who","Thank you to the Actives committee and former minister Marlène Schiappa for the honor of featuring me among the 40 women of the #NextWomen40 list, who could lead some of the largest public groups of the CAC40. I love her quote: ""The woman we didn't find to lead one of the companies of the CAC40 is the one we didn't look for."" Amazing initiative.",https://www.linkedin.com/posts/fidjisimo_nextwomen40-activity-7265414942957137920-LYxM?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADVQx30BSKw-4RPuvwIzJnoG8AqJtvBc4vY
98,Fidji Simo,0.1,78,2,80,Fortune Teller,Content / Brand,Milestone Announcement,Hook -> Punch Line,"I have so much gratitude after our first Metrodora Institute Xcelerate weekend. I will have much more content and insights to share, but thank you Rohit for joining us and posting this, and Summer for sharing your incredibly powerful story.","I have so much gratitude after our first Metrodora Institute Xcelerate weekend. I will have much more content and insights to share, but thank you Roh","I have so much gratitude after our first Metrodora Institute Xcelerate weekend. I will have much more content and insights to share, but thank you Rohit for joining us and posting this, and Summer for sharing your incredibly powerful story.",https://www.linkedin.com/posts/fidjisimo_pots-patient-and-news-anchor-summer-dashe-activity-7073866843513376769-fScr?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADDbKyUBliJAU6h5u1uTmkzg1K3FEkbghHU
99,Fidji Simo,0.1,73,2,76,Teacher,AI / Tech,Thought Leadership,Hook -> Punch Line,So proud to be a part of creating these AI artistic residencies!,So proud to be a part of creating these AI artistic residencies!  I truly believe that AI is about to usher in a golden age of creativity. Artists who,"So proud to be a part of creating these AI artistic residencies! 
I truly believe that AI is about to usher in a golden age of creativity. Artists who learn to harness these powerful tools will be at the forefront of creating extraordinary works. Besides, in times of profound societal change, art helps us navigate the world, and that’s why I believe it’s more critical than ever to support artists.",https://www.linkedin.com/posts/fidjisimo_aiactionsummit-activity-7294843993513766912-iX5I?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE0Wae8Bdw49TBBX9odwCVUCDyBMCOF71rc
100,Fidji Simo,0.1,69,4,74,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Sharing a thoughtful piece from Dani Dudeck on the state of nutrition security and where the food as medicine movement is headed. Excited for Dani to represent Instacart at #WEF2024 as we work alongside the broader healthcare ecosystem to scale these programs.,Sharing a thoughtful piece from Dani Dudeck on the state of nutrition security and where the food as medicine movement is headed. Excited for Dani to ,Sharing a thoughtful piece from Dani Dudeck on the state of nutrition security and where the food as medicine movement is headed. Excited for Dani to represent Instacart at #WEF2024 as we work alongside the broader healthcare ecosystem to scale these programs.,https://www.linkedin.com/posts/fidjisimo_revolution-on-a-plate-how-to-scale-up-food-as-medicine-activity-7148748392091824128-8zvg?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC2YztMBWYYcZ4Slj-rXHa8LaAFoM32zLlU
